id,type,breed,age,gender,size,description,name,status,published_at
65563729,Cat,Domestic Short Hair,Baby,Female,Medium,"Ready to bring joy, laughter, and endless cuddles into your life. Well suited to any kitten-appropriate home. Primary Color: Black...",Marbles,adoptable,2023-07-23T12:15:39+0000
65563730,Cat,Domestic Short Hair,Baby,Female,Medium,"Charmingly wicked kitty ready to razzle and dazzle your life! I am on the timid/undersocialized side, so I will thrive...",Triss,adoptable,2023-07-23T12:15:39+0000
65563731,Cat,Domestic Short Hair,Senior,Male,Small,I&amp;#39;m an extremely sweet senior who looks forward to settling into my new home! I would prefer a calm and...,Falcon,adoptable,2023-07-23T12:15:39+0000
65563732,Cat,Domestic Short Hair,Baby,Male,Medium,Beau-tea-ful and playful kitty well suited to any kitten-appropriate home. Primary Color: Tortoiseshell Weight: 2.2lbs Age: 0yrs 0mths 11wks Animal...,Hibiscus,adoptable,2023-07-23T12:15:39+0000
65563733,Cat,Domestic Short Hair,Baby,Female,Medium,"Charmingly wicked kitty ready to razzle and dazzle your life! I am on the timid/undersocialized side, so I will thrive...",Ciri,adoptable,2023-07-23T12:15:39+0000
65563734,Cat,Domestic Short Hair,Baby,Female,Medium,Adorable good-for-you kitten well suited to any kitten-appropriate home. Primary Color: Black Weight: 3.7lbs Age: 0yrs 0mths 11wks Animal has...,Zucchini,adoptable,2023-07-23T12:15:39+0000
65563735,Cat,Domestic Short Hair,Adult,Female,Medium,"Friendly feline beauty, best suited to a quiet home. Primary Color: Brown Weight: 3.6lbs Age: 5yrs 10mths 3wks Animal has...",Flora,adoptable,2023-07-23T12:15:39+0000
65563736,Cat,Domestic Short Hair,Baby,Male,Medium,Beau-tea-ful and playful kitty well suited to any kitten-appropriate home. Primary Color: Brown Tabby Weight: 2.3lbs Age: 0yrs 0mths 10wks...,Mint,adoptable,2023-07-23T12:15:39+0000
65563737,Cat,Domestic Short Hair,Baby,Female,Medium,"Playful, energetic girl kitty well suited to any kitten-appropriate home. Primary Color: Tortoiseshell Weight: 2.5lbs Age: 0yrs 0mths 9wks Animal...",Zellie,adoptable,2023-07-23T12:15:39+0000
65563738,Cat,Domestic Short Hair,Baby,Male,Medium,"Ready to bring joy, laughter, and endless cuddles into your life. Well suited to any kitten-appropriate home. Primary Color: Brown...",Jax,adoptable,2023-07-23T12:15:39+0000
