id,type,breed,age,gender,size,description,name
65563584,Dog,Shepherd,Adult,Male,Large,"FriendlyIf unaltered, will be scheduled for spay/neuter before leaving LRAV. To see all our animals, click here. For adoption or...",Vinny
65563585,Dog,Shepherd,Adult,Male,Large,"FriendlyIf unaltered, will be scheduled for spay/neuter before leaving LRAV. To see all our animals, click here. For adoption or...",Boris
65563586,Dog,Shepherd,Senior,Female,Large,"FriendlyIf unaltered, will be scheduled for spay/neuter before leaving LRAV. To see all our animals, click here. For adoption or...",Flora
65563587,Dog,Terrier,Young,Female,Medium,"FriendlyIf unaltered, will be scheduled for spay/neuter before leaving LRAV. To see all our animals, click here. For adoption or...",Adora
65563583,Dog,Irish Wolfhound,Young,Female,Medium,No appointments are necessary and you can come and see us any time we are open. Please go to our...,Lindsay
65563581,Dog,Husky,Adult,Male,Large,Loki is a very handsome and distinguished 7-1/2 year old Husky. He came to us when his owner could no...,Loki
65563576,Dog,Boxer,Young,Female,Medium,"Roxie ?
1 year old
Female Boxer mix

This sweet girl is looking for her forever family! She is shy...",Roxie 
65563574,Dog,Australian Shepherd,Young,Male,Large,"Location So California. 
Transports up North are available. Inquire. 
(If this ad is running the dog is available.) 

Meet Doug,...",Doug 
65563572,Dog,Plott Hound,Young,Male,Medium,,Bowie
65563573,Dog,Dachshund,Adult,Male,Small,Simba is a 3 year old miniature dachshund. He is good with other dogs don&amp;#39;t know about cats. You must...,Simba
65563548,Dog,Pit Bull Terrier,Young,Male,Medium,For more information about this animal or our adoption process please visit our website at SouthJerseyRegionalAnimalShelter.org,Donnie
65563542,Dog,Border Collie,Adult,Female,Medium,,Izzy 2
65563533,Dog,Basset Hound,Young,Male,Medium,Hi there! Are you looking for a new best friend that will adore you and protect you? My name is...,Bruno
65563525,Dog,German Shepherd Dog,Young,Female,Large,,Teddy the Girl
65563530,Dog,Doberman Pinscher,Young,Male,Medium,,Tank
65563522,Dog,American Staffordshire Terrier,Young,Female,Large,"Adopt me! I&amp;#39;m Oakley.. someone didn&amp;#39;t want me anymore so they tied me to the shelter doors! 
I don&amp;#39;t get...",Oakley
65563517,Dog,Hound,Baby,Female,Medium,,Ruth
65563518,Dog,Mixed Breed,Adult,Female,Medium,,Tiara
65563501,Dog,Mixed Breed,Young,Male,Medium,"ALL ANIMALS POSTED ARE/WILL BE AVAILABLE FOR ADOPTION TO THE PUBLIC AFTER SPAY/NEUTER.
WE ARE UNABLE TO PLACE A HOLD...",Bernie
65563506,Dog,Great Pyrenees,Adult,Male,Extra Large,"ALL ANIMALS POSTED ARE/WILL BE AVAILABLE FOR ADOPTION TO THE PUBLIC AFTER SPAY/NEUTER.
WE ARE UNABLE TO PLACE A HOLD...",Toby
65563510,Dog,Mixed Breed,Adult,Female,Medium,"ALL ANIMALS POSTED ARE/WILL BE AVAILABLE FOR ADOPTION TO THE PUBLIC AFTER SPAY/NEUTER.
WE ARE UNABLE TO PLACE A HOLD...",Nola
65563511,Dog,Black Mouth Cur,Adult,Male,Medium,"ALL ANIMALS POSTED ARE/WILL BE AVAILABLE FOR ADOPTION TO THE PUBLIC AFTER SPAY/NEUTER.
WE ARE UNABLE TO PLACE A HOLD...",Lenny
65563512,Dog,Mixed Breed,Adult,Female,Medium,Saturn is a sweetheart and the gentlest of souls. We truly enjoy her company! Saturn weighs 52 pounds. Her black...,Saturn
65563514,Dog,Mixed Breed,Young,Female,Medium,,Chilli
65563498,Dog,Terrier,Young,Male,Medium,Thank you for showing an interest in our pets. We can never guarantee the breeds of the animals. We do...,Duey
65563500,Dog,Pit Bull Terrier,Baby,Female,Medium,"Cara&amp;#39;s House 
225-675-0400",23-0578D
65563492,Dog,Mixed Breed,Young,Female,Medium,"We dare you to look into those gorgeous brown eyes and not fall in love! Sally is a shy girl,...",Sally
65563491,Dog,Pit Bull Terrier,Adult,Female,Large,,Sheba
65563482,Dog,Mixed Breed,Young,Female,Large,,Perdita
65563484,Dog,Mixed Breed,Adult,Female,Large,,Lucy
65563483,Dog,Mixed Breed,Young,Male,Large,,Pongo
65563467,Dog,Mixed Breed,Young,Male,Small,,Ozzy
65563465,Dog,Mixed Breed,Young,Male,Medium,,Bandit
65563466,Dog,Labrador Retriever,Young,Female,Medium,,Sage
65563464,Dog,Mixed Breed,Young,Male,Medium,,Pup Pup
65563462,Dog,Chihuahua,Baby,Male,Small,,Dragon
65563463,Dog,Chihuahua,Baby,Male,Small,,Hydra
65563461,Dog,Coonhound,Adult,Male,Large,,Remington
65563460,Dog,Golden Retriever,Young,Female,Medium,"Meet Quinn, an approximately 8-month-old Golden Retriever mix. Quinn came to the shelter as a stray and, after no one...",Quinn
65563459,Dog,Boxer,Adult,Female,Medium,"Meet Dixie, an approximately 8-year-old mixed breed. Dixie is house trained, and good with most bigger dogs; however, she is...",Dixie
65563447,Dog,Rottweiler,Young,Female,Large,,Bunny
65563449,Dog,Rottweiler,Baby,Male,Large,,Benny
65563445,Dog,Golden Retriever,Adult,Male,Large,,Louie
65563437,Dog,Labrador Retriever,Baby,Male,Small,Interested in adopting this pet? Text 386-983-2337 or email safepets.neflorida@gmail.com,Logan
65563439,Dog,Labrador Retriever,Baby,Male,Small,Interested in adopting this pet? Text 386-983-2337 or email safepets.neflorida@gmail.com,Lover Boy
65563433,Dog,Terrier,Young,Male,Small,"***PLEASE NOTE*** 

 A pre adoption application must be completed for any pets you are interested in adopting. Pre adoption applications...",PIRATE
65563430,Dog,Boxer,Adult,Female,Medium,,Maple
65563429,Dog,Belgian Shepherd / Malinois,Baby,Female,Large,Contact HumaneCNY if interested in this animal. You can fill out application to adopt at the shelter.,Starr
65563419,Dog,Mixed Breed,Adult,Male,Large,"Meet Marengo, a 3-year-old fluffball! This handsome man enjoys his walks and playdates with other dogs. He is super smart...",Marengo
65563404,Dog,Labrador Retriever,Adult,Male,Medium,,Bud
65563384,Dog,Husky,Young,Male,Medium,,Knuckles
65563387,Dog,Chihuahua,Senior,Male,Small,,Churro
65563373,Dog,Shih Tzu,Young,Female,Small,You can fill out an adoption application online on our official website.Updated pictures to come:) Super sweet Shihtzu Maltese mix...,! 5 Celeste
65563370,Dog,Shih Tzu,Young,Female,Small,You can fill out an adoption application online on our official website.Updated pictures to come:) Super sweet Shihtzu Maltese mix...,! 5 Twinkle
65563372,Dog,Shih Tzu,Young,Female,Small,You can fill out an adoption application online on our official website.Updated pictures to come:) Super sweet Shihtzu Maltese mix...,! 5 Stellar
65563371,Dog,Shih Tzu,Young,Female,Small,You can fill out an adoption application online on our official website.Updated pictures to come:) Super sweet Shihtzu Maltese mix...,! 5 Aurora
65563369,Dog,Shih Tzu,Young,Female,Small,You can fill out an adoption application online on our official website.Updated pictures to come:) Super sweet Shihtzu Maltese mix...,! 5 Cosmic
65563367,Dog,Poodle,Adult,Male,Small,Missouri Rescue,1641 Lager
65563357,Dog,Shih Tzu,Young,Female,Small,You can fill out an adoption application online on our official website.Updated pictures to come:) Super sweet Shihtzu Maltese mix...,! 5 Starbright
65563356,Dog,Labrador Retriever,Baby,Female,Large,"In March a member from the community found 2 adult yellow labs (male &amp;amp; female, ~2 years old; they now...",Bakers Dozen: Cookie
65563355,Dog,Australian Shepherd,Adult,Female,Medium,Meet BaileyBailey was picked up and brought to a local shelter as a stray. . The Dog Scanner app suggests...,Bailey
65563295,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Earl
65563296,Dog,American Bulldog,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Gunner
65563299,Dog,Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Jinx
65563300,Dog,American Bully,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Seven
65563302,Dog,Shepherd,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Trex
65563304,Dog,Shepherd,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Cracker
65563305,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Jerry
65563307,Dog,American Bully,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Style
65563308,Dog,Hound,Baby,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Hoffa
65563310,Dog,American Bulldog,Adult,Female,Medium,PAW Animal Shelter is a high intake No Kill Shelter ran by a staff of 4. If you have applied...,Pinky
65563311,Dog,American Bulldog,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Busey
65563312,Dog,American Bulldog,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Joe Black
65563313,Dog,American Bully,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Justus
65563314,Dog,Mixed Breed,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Luna
65563315,Dog,American Bulldog,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Myla
65563316,Dog,Mixed Breed,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Titus
65563317,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Houdini
65563319,Dog,Coonhound,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Lucille
65563321,Dog,American Staffordshire Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Thor
65563322,Dog,German Shepherd Dog,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",George
65563323,Dog,Plott Hound,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Hitch
65563325,Dog,American Bully,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Chico *
65563326,Dog,Terrier,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Ouiji
65563327,Dog,Mixed Breed,Young,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Satin
65563328,Dog,Chihuahua,Young,Female,Medium,,Stella
65563329,Dog,American Bully,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Dylan
65563330,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Hard Case
65563332,Dog,Great Dane,Adult,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Mario
65563333,Dog,Bichon Frise,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Tyler
65563334,Dog,Mixed Breed,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Viana
65563336,Dog,Labrador Retriever,Adult,Female,Medium,Fenced in yard is REQUIRED to adopt Joli. Fence needs to be at least 5 feet-6 is preferred. oli also...,Joli
65563337,Dog,Boxer,Young,Male,Large,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Memphis
65563339,Dog,Husky,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Player
65563340,Dog,Australian Cattle Dog / Blue Heeler,Young,Male,Small,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Bocce
65563341,Dog,Mixed Breed,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interetsed in adopting any animal from PAW Animal Shelter Please, fillout an...",Gangster
65563342,Dog,Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",McGuire
65563344,Dog,Terrier,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Sundance Kid
65563345,Dog,American Staffordshire Terrier,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Mr. Rogers
65563346,Dog,Husky,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Spark
65563348,Dog,Shih Tzu,Adult,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Clark Gabel
65563349,Dog,Husky,Adult,Female,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Starsky
65563350,Dog,Terrier,Young,Male,Medium,"If you have ANY QUESTIONS or are truly interested in adopting any animal from PAW Animal Shelter Please, fillout an...",Barrel
